"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","814","Нельзя авторизоваться без пароля","tests","2026-09-05","passed","2026-09-05","TestLoginCourier","test_login_courier","",""
"При попытке создать курьера с уже существующим логином возвращается ошибка","968","Нельзя создать двух одинаковых курьеров","tests","2026-09-05","passed","2026-09-05","TestCreateCourier","test_create_courier","",""
"Можно указать один цвет, оба цвета или не указывать цвет вообще. В ответе должен быть track","841","Создание заказа с указанием цвета","tests","2026-09-05","passed","2026-09-05","TestCreateOrder","test_create_order","",""
"В теле ответа возвращается список заказов","14918","Получение списка заказов","tests","2026-09-05","passed","2026-09-05","TestGetOrders","test_get_orders","",""
"Если не передать логин — возвращается ошибка","801","Нельзя создать курьера без логина","tests","2026-09-05","passed","2026-09-05","TestCreateCourier","test_create_courier","",""
"","2004","Курьер может успешно авторизоваться","tests","2026-09-05","passed","2026-09-05","TestLoginCourier","test_login_courier","",""
"","833","Ошибка авторизации несуществующего пользователя","tests","2026-09-05","passed","2026-09-05","TestLoginCourier","test_login_courier","",""
"","847","Нельзя авторизоваться без логина","tests","2026-09-05","passed","2026-09-05","TestLoginCourier","test_login_courier","",""
"Если не передать пароль — возвращается ошибка","809","Нельзя создать курьера без пароля","tests","2026-09-05","passed","2026-09-05","TestCreateCourier","test_create_courier","",""
"Можно указать один цвет, оба цвета или не указывать цвет вообще. В ответе должен быть track","827","Создание заказа с указанием цвета","tests","2026-09-05","passed","2026-09-05","TestCreateOrder","test_create_order","",""
"Можно создать курьера, передав все обязательные поля. Ожидаем код 201 и тело {""ok"":true}","1373","Успешное создание курьера","tests","2026-09-05","passed","2026-09-05","TestCreateCourier","test_create_courier","",""
"","1780","Ошибка авторизации с неправильным паролем","tests","2026-09-05","passed","2026-09-05","TestLoginCourier","test_login_courier","",""
"","1722","Ошибка авторизации с неправильным логином","tests","2026-09-05","passed","2026-09-05","TestLoginCourier","test_login_courier","",""
"Можно указать один цвет, оба цвета или не указывать цвет вообще. В ответе должен быть track","951","Создание заказа с указанием цвета","tests","2026-09-05","passed","2026-09-05","TestCreateOrder","test_create_order","",""
"Можно указать один цвет, оба цвета или не указывать цвет вообще. В ответе должен быть track","1001","Создание заказа с указанием цвета","tests","2026-09-05","passed","2026-09-05","TestCreateOrder","test_create_order","",""
